캠페인,202101-유리카-(주) 데일리앤코-주식회사 에코마케팅-NP_M_0118 - 유리카
보고서이름,광고소재별 리포트_에코마케팅 ( 주식회사 에코마케팅 )
생성자,에코마케팅 ( 주식회사 에코마케팅 )
통계기간,2021.01.18.~2021.01.24.
필터항목,없음

"광고상품","상품유형","광고소재","일자","시간","집행금액","광고비","노출수","클릭수","클릭률(%)","노출비용(원/1천회)","클릭비용(원/1회)"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","03-04시","1059","1059","6","0","0.00","176552","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","03-04시","883","883","5","0","0.00","176552","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","03-04시","1942","1942","11","0","0.00","176552","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/짧은마스또렷리","2021-01-18","03-04시","298","298","1","0","0.00","298000","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/빈약인상소리","2021-01-18","03-04시","298","298","1","0","0.00","298000","0"
"M_신제품검색","검색_이미지형","브세_브러쉬세척기/할인무배새해","2021-01-18","04-05시","596","596","1","0","0.00","596000","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클","2021-01-18","04-05시","477","477","1","0","0.00","476500","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클히든","2021-01-18","04-05시","477","477","1","1","100.00","476500","477"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","04-05시","1575","1575","8","0","0.00","196923","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","04-05시","1575","1575","8","2","25.00","196923","788"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","04-05시","1182","1182","6","0","0.00","196923","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","04-05시","788","788","4","0","0.00","196923","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/마스또렷빗으면","2021-01-18","04-05시","596","596","1","0","0.00","596000","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","05-06시","768","768","3","1","33.33","256000","768"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","05-06시","1024","1024","4","1","25.00","256000","1024"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","05-06시","1280","1280","5","1","20.00","256000","1280"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","05-06시","2048","2048","8","0","0.00","256000","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/할인무배아침하지마리","2021-01-18","05-06시","596","596","1","0","0.00","596000","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클히든","2021-01-18","06-07시","953","953","1","0","0.00","953000","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","06-07시","341","341","1","0","0.00","341330","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","06-07시","1365","1365","4","0","0.00","341333","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","06-07시","1707","1707","5","0","0.00","341334","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","06-07시","1707","1707","5","0","0.00","341334","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/할인무배아침하지마리","2021-01-18","06-07시","397","397","2","1","50.00","198665","397"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/짧은마스또렷리","2021-01-18","06-07시","199","199","1","0","0.00","198670","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마","2021-01-18","07-08시","953","953","4","0","0.00","238250","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","07-08시","1138","1138","6","1","16.67","189630","1138"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","07-08시","759","759","4","0","0.00","189630","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","07-08시","1327","1327","7","1","14.29","189630","1327"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","07-08시","1896","1896","10","2","20.00","189630","948"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/할인무배아침하지마리","2021-01-18","07-08시","238","238","2","1","50.00","119200","238"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/짧은마스또렷리","2021-01-18","07-08시","238","238","2","0","0.00","119200","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/마스또렷빗으면","2021-01-18","07-08시","119","119","1","0","0.00","119200","0"
